season_id,season,full_name,player,position
11,2016-17,David Ospina,Ospina,1
11,2016-17,Petr Cech,Cech,1
11,2016-17,Laurent Koscielny,Koscielny,2
11,2016-17,Per Mertesacker,Mertesacker,2
11,2016-17,Gabriel Armando de Abreu,Gabriel,2
11,2016-17,Héctor Bellerín,Bellerín,2
11,2016-17,Kieran Gibbs,Gibbs,2
11,2016-17,Mathieu Debuchy,Debuchy,2
11,2016-17,Carl Jenkinson,Jenkinson,2
11,2016-17,Nacho Monreal,Monreal,2
11,2016-17,Calum Chambers,Chambers,2
11,2016-17,Alexis Sánchez,Sánchez,3
11,2016-17,Theo Walcott,Walcott,3
11,2016-17,Mesut Özil,Özil,3
11,2016-17,Santiago Cazorla,Cazorla,3
11,2016-17,Aaron Ramsey,Ramsey,3
11,2016-17,Jack Wilshere,Wilshere,3
11,2016-17,Alex Oxlade-Chamberlain,Chamberlain,3
11,2016-17,Serge Gnabry,Gnabry,3
11,2016-17,Francis Coquelin,Coquelin,3
11,2016-17,Alex Iwobi,Iwobi,3
11,2016-17,Mohamed Elneny,Elneny,3
11,2016-17,Joel Campbell,Campbell,3
11,2016-17,Granit Xhaka,Xhaka,3
11,2016-17,Olivier Giroud,Giroud,4
11,2016-17,Danny Welbeck,Welbeck,4
11,2016-17,Yaya Sanogo,Sanogo,4
11,2016-17,Takuma Asano,Asano,4
11,2016-17,Artur Boruc,Boruc,1
11,2016-17,Adam Federici,Federici,1
11,2016-17,Simon Francis,Francis,2
11,2016-17,Steve Cook,Steve Cook,2
11,2016-17,Charlie Daniels,Daniels,2
11,2016-17,Adam Smith,Smith,2
11,2016-17,Tyrone Mings,Mings,2
11,2016-17,Nathan Aké,Aké,2
11,2016-17,Harry Arter,Arter,3
11,2016-17,Marc Pugh,Pugh,3
11,2016-17,Andrew Surman,Surman,3
11,2016-17,Eunan O'Kane,O'Kane,3
11,2016-17,Shaun MacDonald,MacDonald,3
11,2016-17,Junior Stanislas,Stanislas,3
11,2016-17,Dan Gosling,Gosling,3
11,2016-17,Max Gradel,Gradel,3
11,2016-17,Emerson Hyndman,Hyndman,3
11,2016-17,Jordon Ibe,Ibe,3
11,2016-17,Lewis Cook,Lewis Cook,3
11,2016-17,Joshua King,King,3
11,2016-17,Callum Wilson,Callum Wilson,4
11,2016-17,Tokelo Rantie,Rantie,4
11,2016-17,Lewis Grabban,Grabban,4
11,2016-17,Benik Afobe,Afobe,4
11,2016-17,Lys Mousset,Mousset,4
11,2016-17,Tom Heaton,Heaton,1
11,2016-17,Matthew Lowton,Lowton,2
11,2016-17,Ben Mee,Mee,2
11,2016-17,Stephen Ward,Ward,2
11,2016-17,Michael Keane,Keane,2
11,2016-17,James Tarkowski,Tarkowski,2
11,2016-17,Tendayi Darikwa,Darikwa,2
