League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Ligue 1,2020-21,Lille,Mike Maignan,GK,180,26,5.0,5.6
Serie A,2020-21,Atalanta,Robin Gosens,DEF,174,18,7.0,7.5
Serie A,2020-21,AC Milan,Theo Hernández,DEF,168,20,6.0,6.4
Ligue 1,2020-21,Lille,José Fonte,DEF,166,11,5.5,5.9
Premier League,2020-21,Man. United,Bruno Fernandes,MID,248,44,7.0,8.5
Serie A,2020-21,Napoli,Lorenzo Insigne,MID,240,49,8.0,9.1
La Liga,2020-21,Atlético,Marcos Llorente,MID,196,26,5.5,6.6
Serie A,2020-21,AC Milan,Franck Kessié,MID,183,28,5.5,6.2
Bundesliga,2020-21,Bayern,Robert Lewandowski,FWD,288,50,12.5,13.1
Bundesliga,2020-21,Frankfurt,André Silva,FWD,236,46,5.5,7.1
Serie A,2020-21,Fiorentina,Dusan Vlahović,FWD,201,38,5.5,6.4
Total,-,-,-,-,2280,356,73.0,82.4
