League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
La Liga,2016-17,Sevilla,Sergio Rico,GK,128,25,5.0,5.1
La Liga,2016-17,Atlético,Filipe Luis,DEF,190,25,5.5,6.2
La Liga,2016-17,Villarreal,Mario Gaspar,DEF,136,9,6.0,5.9
La Liga,2016-17,Atlético,Diego Godín,DEF,134,7,6.0,6.0
La Liga,2016-17,Eibar,Pedro León,MID,163,25,6.0,6.2
La Liga,2016-17,Espanyol,Pablo Piatti,MID,160,22,6.0,6.4
La Liga,2016-17,Real Sociedad,Xabi Prieto,MID,152,18,6.0,6.1
La Liga,2016-17,Athletic Club,Raúl García,MID,148,19,6.5,6.5
La Liga,2016-17,Barcelona,Lionel Messi,FWD,293,59,12.5,13.1
La Liga,2016-17,Barcelona,Luis Suárez,FWD,255,42,13.0,13.3
La Liga,2016-17,Celta Vigo,Iago Aspas,FWD,166,36,7.0,7.2
Total,-,-,-,-,1925,287,79.5,82.0
