League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Ligue 1,2020-21,Lille,Mike Maignan,GK,180,26,5.0,5.6
Serie A,2020-21,Atalanta,Robin Gosens,DEF,174,18,7.0,7.5
Serie A,2020-21,Inter,Achraf Hakimi,DEF,171,19,7.0,7.2
Serie A,2020-21,AC Milan,Theo Hernández,DEF,168,20,6.0,6.4
Premier League,2020-21,Man. United,Bruno Fernandes,MID,248,44,7.0,8.5
Serie A,2020-21,Napoli,Lorenzo Insigne,MID,240,49,8.0,9.1
Premier League,2020-21,Tottenham,Heung-min Son,MID,224,27,9.5,10.0
Bundesliga,2020-21,Bayern,Thomas Müller,MID,207,26,9.5,9.8
Bundesliga,2020-21,Bayern,Robert Lewandowski,FWD,288,50,12.5,13.1
La Liga,2020-21,Barcelona,Lionel Messi,FWD,266,55,12.5,12.9
Premier League,2020-21,Tottenham,Harry Kane,FWD,247,45,10.5,11.2
Total,-,-,-,-,2413,379,94.5,101.3
